4937|F|Anastacia 04-073|SBI n|FD LO 129902
4944|F|Anastasia 12-06|SBI b|(DK)FD LO 208474
4961|F|Anastasia von Gott DK|SBI c|FD LO 148468
4962|F|Anastasia von Tasi's DK|SBI f|FD LO 108880
5078|F|Andrea von Sivebæk DK|SBI a|FD LO 85129
5120|F|Anemone 00-133|SBI a|FD LO 105870
5122|F|Anemone 07-32A|SBI n|FD LO 149013
5158|M|Angel 02-034|SBI a|FD LO 115403
5163|F|Angel 12-07|SBI n|(DK)FD LO 208475
5197|F|Angel Stern Goudenglans|SBI b|FD LO 135594
5210|F|Angeldust von Gott DK|SBI c|FD LO 148467
5305|F|Angelika 01-103|SBI b|FD LO 111561
5330|F|Angelina von Zobbe DK|SBI a|FD LO 59645
5379|F|Angels Crying Song Hio DK|SBI c|FD LO 103004
5447|F|Anika 01-104|SBI b|FD LO 111562
5550|M|Anjin 08-36|SBI a|FD LO 171044
5588|F|Annabel Song Hio DK|SBI a|FD LO 57289
5595|F|Annabell 10-68|SBI a|(DK)FD LO 200669
5596|F|Annabell 12-13|SBI n 21|(DK)FD LO 209038
5609|F|Annabella Berggren DK|SBI n|FD LO 100072
5629|F|Annastacia 01-037|SBI b|FD LO 108919
5645|F|Anne-Bell 03-003|SBI b|FD LO 121104
5661|F|Annemone 06-081|SBI b|FD LO 144805
5839|M|Antino 08-35|SBI n|FD LO 171043
5876|M|Anton 00-188|SBI a|FD LO 107147
5882|M|Anton 04-56|SBI c|FD LO 128825
5883|M|Anton 05-72|SBI a|FD LO 135942
5893|M|Anton 10-78|SBI n|(DK)FD LO 201396
5894|M|Anton 11-15|SBI a|(DK)FD LO 203403
5895|M|Anton 11-20|SBI n|(DK)FD LO 203841
5896|M|Anton 12-25|SBI b|(DK)FD LO 210794
5902|M|Anton 97-41|SBI a|FD LO 90066
5927|M|Anton Saucisse détour DK|SBI n|FD LO 109294
5929|M|Anton von Bodeholt DK|SBI d|FD LO 67733
5939|F|Antoniette 94-170|SBI a|FD LO 78325
6048|M|Apollo 08-68|SBI b 21|FD LO 172699
6050|M|Apollo 10-35|SBI a|(DK)FD LO 179137
6066|M|Apollo Dia Chazan DK|SBI n|FD LO 120778
6084|M|Apollon 97-114|SBI n|FD LO 92017
6101|M|Apollon von Petri DK|SBI c|FD LO 100338
6177|F|April 11-43|SBI a|(DK)FD LO 205086
6213|F|Aquamarin Sinklair|SBI a|FD LO 76644
6229|M|Aqva Aqvarius Song Hio DK|SBI c|FD LO 103003
6257|M|Aragon 12-12|SBI c 21|(DK)FD LO 209037
6260|M|Aragorn Song Hio DK|SBI n 21|FD LO 121984
6297|M|Aramis De Alfang DK|SBI n|FD LO 84076
6302|M|Aramis Kempes DK|SBI n|FD LO 62424
6305|M|Aramis Marcanna DK|SBI n 21|FD LO 75352
6311|M|Aramis Sinklair|SBI a 21|FD LO 129028
6340|M|Arbatax 08-37|SBI n|FD LO 171045
6382|M|Archie 09-21|SBI a|FD LO 174734
6401|M|Arctic Monkey Song Hio DK|SBI n 21|FD LO 143947
6443|M|Argibal 90-103|SBI a|FD LO 60028
6450|M|Argos 08-85|SBI a 21|FD LO 173282
6471|M|Ariann von Welsch DK|SBI n|FD LO 71032
6483|F|Ariel Dia Chazan DK|SBI n|FD LO 120779
6493|F|Arien Song Hio DK|SBI n|FD LO 176963
6525|M|Aristo 02-033|SBI b|FD LO 115402
6559|F|Ark Freyja|SBI a|FD LO 100229
6561|F|Ark Maire|SBI n|FD LO 100269
6612|M|Arkibal 07-04|SBI b|FD LO 146178
6621|M|Arkibal Thaie Bamboo|SBI n 21|FD LO 134349
6623|M|Arkibald Saucisse détour DK|SBI n|FD LO 109293
6656|M|Armani 02-032|SBI b|FD LO 115401
6657|M|Armani 04-55|SBI a|FD LO 128824
6659|M|Armani 07-03|SBI n|FD LO 146177
6660|M|Armani 07-23A|SBI n|FD LO 148556
6662|M|Armani 10-30|SBI n|(DK)FD LO 178732
6663|M|Armani 11-42|SBI a|(DK)FD LO 205085
6674|M|Armani von Gott DK|SBI a|FD LO 148465
6676|M|Armani von Welsch DK|SBI n|FD LO 148492
6679|M|Armick 09-22|SBI a|FD LO 174735
6697|M|Arnold 08-81|SBI c|FD LO 173194
6699|M|Arnold 90-102|SBI a|FD LO 60027
6715|M|Arnold von Sivebæk DK|SBI e|FD LO 85127
6716|M|Arnold von Welsch DK|SBI a|FD LO 71033
6717|M|Arnold von Zobbe DK|SBI a|FD LO 59643
6741|M|Aron 10-70|SBI a|(DK)FD LO 200671
6752|M|Aron von Sivebæk DK|SBI e|FD LO 85125
6756|M|Aros 10-69|SBI a|(DK)FD LO 200670
6762|M|Arpege de la Goutte d'Ô Douce|SBI n|FD LO 137731
6811|F|Artemis af Malosinh DK|SBI a|FD LO 54608
6826|F|Artemis De Kitha-Sinh DK|SBI c|FD LO 72357
6852|F|Artemis Marcanna DK|SBI n|FD LO 75350
6889|F|Artemis von Petri DK|SBI a|FD LO 100339
6975|F|Arwen Song Hio DK|SBI n|FD LO 121982
6978|M|Arwin 12-29|SBI a|(DK)FD LO 211429
6982|F|Aryavartha's Aditi|SBI n|FD LO 27910
6984|M|Aryavartha's Candi|SBI a|FD LO 31118
6986|F|Aryavartha's Mara|SBI n|FD LO 31270
6999|F|Ascha von Gott DK|SBI n|FD LO 70767
7009|F|Asha 08-83|SBI g|FD LO 173280
7012|F|Asha Sai-Savart|SBI n|FD LO 149027
7033|F|Ashia 08-56|SBI n|FD LO 172142
7109|M|Aske af Folkvang DK|SBI n|FD LO 93901
7125|F|Askepot Sveske Borea Ohion DK|SBI n|FD LO 76728
7149|M|Aslan 07-24|SBI a|FD LO 147906
7154|M|Aslan 13-46|SBI c|(DK)FD LO 215720
7163|M|Aslan Sai-Savart|SBI a|FD LO 149030
7231|F|Asta 97-43|SBI a|FD LO 90068
