SOURCE	TARGET	LABEL
1218	6393	DAM
1219	145594	DAM
1220	145982	DAM
1221	128780	DAM
1222	1225	DAM
1223	1237	DAM
1224	1225	DAM
1225	130994	DAM
1226	608	DAM
1227	889	DAM
1228	53544	DAM
1229	1225	DAM
1230	607	DAM
1231	1237	DAM
1232	608	DAM
1233	889	DAM
1234	1237	DAM
1235	605	DAM
1236	1225	DAM
1237	607	DAM
1238	7165	DAM
1239	146745	DAM
1241	127156	DAM
1242	127156	DAM
1243	127156	DAM
1244	1001	DAM
1245	127156	DAM
1246	127156	DAM
1247	127156	DAM
1248	191401	DAM
1249	182165	DAM
1250	122435	DAM
1251	167469	DAM
1252	169792	DAM
1253	184438	DAM
1255	943	DAM
1256	167407	DAM
1257	119703	DAM
1258	159404	DAM
1259	159404	DAM
1260	184314	DAM
1261	184879	DAM
1263	172270	DAM
1264	7089	DAM
1265	1187	DAM
1267	923	DAM
1268	20398	DAM
1269	128014	DAM
1272	660	DAM
1273	175275	DAM
1274	168082	DAM
1275	178905	DAM
1276	410	DAM
1277	172581	DAM
1278	159621	DAM
1279	159621	DAM
1280	13667	DAM
1281	118398	DAM
1282	1295	DAM
1283	1295	DAM
1284	20338	DAM
1285	118398	DAM
1286	1080	DAM
1287	118401	DAM
1288	118401	DAM
1289	118398	DAM
1290	118398	DAM
1291	118401	DAM
1292	118398	DAM
1293	118401	DAM
1294	118398	DAM
1295	142217	DAM
1296	26578	DAM
1297	142217	DAM
1299	173396	DAM
1300	170831	DAM
1301	170831	DAM
1303	1302	DAM
1304	183066	DAM
1305	173470	DAM
1306	1389	DAM
1307	1363	DAM
1308	1363	DAM
1309	1355	DAM
1310	131894	DAM
1311	924	DAM
1313	160925	DAM
1314	178524	DAM
1315	180953	DAM
1316	184036	DAM
1317	1321	DAM
1318	1321	DAM
1319	1324	DAM
1320	983	DAM
1321	977	DAM
1322	142478	DAM
1323	142478	DAM
1324	142478	DAM
1326	142478	DAM
1327	144053	DAM
1328	141407	DAM
1329	144053	DAM
1330	1335	DAM
1331	1324	DAM
1332	1323	DAM
1333	1313	DAM
1334	125443	DAM
1335	1324	DAM
1336	1325	DAM
1337	1155	DAM
1338	167469	DAM
1339	10945	DAM
1340	1032	DAM
1341	1032	DAM
1342	1032	DAM
1343	173564	DAM
1344	639	DAM
1345	9053	DAM
1346	7165	DAM
1347	120710	DAM
1348	1347	DAM
1349	1125	DAM
1351	118505	DAM
1353	121439	DAM
1354	1113	DAM
1355	166807	DAM
1357	48	DAM
1358	134616	DAM
1359	1163	DAM
1361	173964	DAM
1362	656	DAM
1363	12670	DAM
1366	1026	DAM
1367	23	DAM
1368	2140	DAM
1370	721	DAM
1371	2140	DAM
1372	1374	DAM
1373	148573	DAM
1374	143061	DAM
1375	148573	DAM
1376	23189	DAM
1377	21734	DAM
1380	122214	DAM
1381	83924	DAM
1382	13801	DAM
1383	477	DAM
1384	130068	DAM
1385	477	DAM
1386	167749	DAM
1387	1359	DAM
1388	12172	DAM
1389	181987	DAM
1390	491	DAM
1391	765	DAM
1392	765	DAM
1393	387	DAM
1394	765	DAM
1395	919	DAM
1396	159633	DAM
1397	1204	DAM
1398	159616	DAM
1399	118132	DAM
1400	118132	DAM
1401	162192	DAM
1402	162192	DAM
1403	192688	DAM
1404	125723	DAM
1405	125723	DAM
1406	145532	DAM
1407	96758	DAM
1408	154337	DAM
1409	1418	DAM
1410	1418	DAM
1411	15483	DAM
1412	145532	DAM
1413	125330	DAM
1414	179131	DAM
1415	21159	DAM
1416	136456	DAM
1417	136456	DAM
1418	140713	DAM
1419	192956	DAM
1420	1430	DAM
1421	1430	DAM
1422	1430	DAM
1423	184251	DAM
1424	184251	DAM
1425	140713	DAM
1427	192956	DAM
1428	184251	DAM
1429	192956	DAM
1430	192956	DAM
1432	153519	DAM
1433	136012	DAM
1434	140010	DAM
1435	26113	DAM
1436	136066	DAM
1437	153299	DAM
1439	91666	DAM
1440	91666	DAM
1443	78332	DAM
1444	192126	DAM
1445	176446	DAM
1447	38498	DAM
1448	159517	DAM
1449	176282	DAM
1450	154467	DAM
1451	1454	DAM
1452	183642	DAM
1457	174824	DAM
1458	144499	DAM
1460	43498	DAM
1462	133803	DAM
1463	43614	DAM
1464	174864	DAM
1465	185331	DAM
1466	1467	DAM
1467	180978	DAM
1468	185331	DAM
1469	123387	DAM
1471	163758	DAM
1473	163758	DAM
1474	163758	DAM
1475	123387	DAM
1476	140382	DAM
1477	15836	DAM
1478	1479	DAM
1479	181388	DAM
1480	1476	DAM
1483	161751	DAM
1484	1486	DAM
1487	185374	DAM
