49811 |M|DK Europa's Næsvise Nordmand          |NFO n 23    |07-09-1996|FD LO 87290        
49880 |M|DK Europa's Undulat Dræber            |NFO ns 09 23|04-03-2004|FD LO 126018       
50080 |M|DK Fabis True Tyson                   |NFO a 09 22 |11-05-2001|FD LO 109223       
50433 |M|DK Family's Cæcar                     |NFO d 09 23 |29-12-2000|FD LO 107527       
50812 |M|DK Feles Ferox Charlie                |NFO n 09 23 |20-09-1988|FD LO 53226        
51542 |M|DK Fidji's Cremi                      |PER e 33    |16-04-1993|FD LO 71064        
51630 |M|DK Filaticat's Hugo                   |NFO ns 09 23|04-06-2005|FD LO 134650       
51891 |M|DK Fjeldkatten's Jedidiah             |NFO d 09 23 |13-03-1994|FD LO 75318        
51916 |M|DK Fjeldkatten's Quasimodo            |NFO n 09    |19-07-1996|FD RX 11388        
53171 |M|DK Fort Apache's Kokum                |MCO n 23    |09-11-1995|FD LO 83930        
53761 |M|DK Fruen's Monster                    |NFO ds 09 23|13-03-1998|FD LO 94261        
54430 |M|DK Gandow's Swinging Blue Jean's      |PER a       |10-10-1993|FD LO 73979        
55063 |M|DK Gillian's Hvirkelig Hviid          |NFO w       |06-04-2006|FD LO 139971       
55547 |M|DK Godsk Bullamakanka, DSM            |BRI a       |23-09-2000|FD LO 106108       
55836 |M|DK Graffity's Felino                  |PER c 33    |18-05-1988|FD LO 51499        
56839 |M|DK Guldal's Baron Buster              |NFO d 03 23 |10-06-2010|(DK)FD LO 179357   
57916 |M|DK Haslund's Tato                     |SIA n 21    |26-07-1999|FD LO 101333       
58008 |M|DK Hass' Pongo                        |NFO n 23    |13-09-2001|FD LO 112066       
58166 |M|DK Havheksen's Pjuskenbuks            |NFO e 23    |10-05-2004|FD LO 127235       
59520 |M|DK Hot Pursuit's Mr. Gipsy King       |PER n 21 33 |21-07-1991|FD LO 64733        
60087 |M|DK Høgenhoff's Røde Baron             |PER d       |06-05-1989|FD LO 54847        
60852 |M|DK Insel's Claudius                   |NFO ns 23   |27-04-2002|FD LO 115417       
61304 |M|DK Jamsession's Bird                  |MCO as 22   |19-11-1995|FD LO 83751        
61937 |M|DK Jente's Kenno Grasa                |SBI a 21    |20-06-2006|FD LO 142101       
62010 |M|DK Jente's Orson                      |SBI a 21    |06-11-1993|FD LO 74079        
62063 |M|DK Jente's Sonny Boy Auranu           |SBI n       |09-03-2009|FD LO 175207       
62092 |M|DK Jente's Victor Viceroy Domi        |SBI n       |28-09-2005|FD LO 137313       
62132 |M|DK Jeramal's Beautiful Blue Boy       |BRI a 03    |04-10-2002|FD LO 117717       
63442 |M|DK Kamikaze's Beloki Boy              |MCO n       |04-03-2002|FD LO 114099       
65595 |M|DK Killix Go-Cart Gucci               |NFO n 09    |13-06-2001|FD LO 110273       
65751 |M|DK Kimmerslev's Allegro               |MCO n 22    |14-03-1995|FD LO 80263        
66012 |M|DK Kiru's Bright Baron                |SBI n       |13-03-1993|FD LO 73643        
66122 |M|DK Kiru's James Bond                  |SBI b       |17-06-1997|FD RX 12290        
